text,sentiment,category,source,word_count,shares,publication_date
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Education,Wire Service,285,5492,2025-12-01
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Technology,Local News,257,6496,2025-12-23
Local Community Raises Record $500K for Children's Hospital,Positive,Health,Local News,363,7127,2025-12-20
Local Community Raises Record $500K for Children's Hospital,Positive,Politics,Online Media,137,3909,2025-12-26
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Technology,National News,192,9468,2025-12-04
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Environment,Local News,452,9386,2025-12-03
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Technology,Online Media,380,8055,2025-12-12
Local Community Raises Record $500K for Children's Hospital,Positive,Environment,National News,271,8185,2025-12-16
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Local,Wire Service,132,2035,2025-11-29
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Politics,National News,99,5383,2025-12-17
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Education,National News,215,932,2025-12-12
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Technology,Wire Service,487,1809,2025-12-17
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Education,Online Media,183,4384,2025-12-05
Education Initiative Dramatically Improves Student Performance Rates,Positive,Education,Online Media,133,8972,2025-12-07
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Politics,Local News,314,732,2025-12-18
Local Community Raises Record $500K for Children's Hospital,Positive,Environment,Online Media,73,1949,2025-12-18
Local Community Raises Record $500K for Children's Hospital,Positive,Local,Wire Service,172,4183,2025-12-18
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Education,National News,236,5354,2025-12-05
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Technology,Online Media,495,9286,2025-12-24
Local Community Raises Record $500K for Children's Hospital,Positive,Technology,National News,80,4766,2025-12-27
Local Community Raises Record $500K for Children's Hospital,Positive,Health,Wire Service,105,6641,2025-12-02
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Economy,Wire Service,394,6299,2025-12-02
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Economy,National News,437,2617,2025-12-14
Local Community Raises Record $500K for Children's Hospital,Positive,Health,Local News,107,7955,2025-12-13
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Politics,Local News,264,6772,2025-12-18
New Medical Research Shows 90% Success Rate in Cancer Treatment,Positive,Economy,Wire Service,492,1815,2025-11-30
Education Initiative Dramatically Improves Student Performance Rates,Positive,Economy,Online Media,326,9870,2025-11-30
New Medical Research Shows 90% Success Rate in Cancer Treatment,Positive,Politics,Local News,447,2553,2025-12-02
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Technology,Online Media,260,2494,2025-12-16
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Local,National News,340,556,2025-12-08
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Environment,National News,242,8319,2025-12-16
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Politics,Wire Service,207,2266,2025-12-01
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Technology,Local News,139,160,2025-11-29
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Politics,Wire Service,384,1656,2025-12-15
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Politics,Wire Service,311,6884,2025-12-02
Local Community Raises Record $500K for Children's Hospital,Positive,Education,Local News,176,5704,2025-12-14
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Politics,National News,393,9645,2025-12-06
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Environment,Wire Service,106,7114,2025-12-15
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Technology,National News,480,7202,2025-12-07
Local Community Raises Record $500K for Children's Hospital,Positive,Education,Online Media,394,7434,2025-11-29
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Education,Wire Service,310,5933,2025-12-02
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Technology,Online Media,380,7968,2025-12-19
New Medical Research Shows 90% Success Rate in Cancer Treatment,Positive,Technology,Online Media,53,4922,2025-12-28
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Economy,National News,171,7933,2025-12-21
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Politics,Online Media,226,880,2025-12-17
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Politics,Local News,52,8852,2025-12-04
New Medical Research Shows 90% Success Rate in Cancer Treatment,Positive,Politics,Online Media,83,4038,2025-12-24
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Health,Wire Service,220,951,2025-12-10
New Medical Research Shows 90% Success Rate in Cancer Treatment,Positive,Politics,Wire Service,193,2207,2025-12-20
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Technology,National News,436,5126,2025-12-13
Education Initiative Dramatically Improves Student Performance Rates,Positive,Economy,National News,215,6288,2025-12-04
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Economy,Wire Service,169,3079,2025-12-04
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Local,Wire Service,296,7287,2025-11-29
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Education,National News,408,9206,2025-11-30
New Medical Research Shows 90% Success Rate in Cancer Treatment,Positive,Politics,Local News,312,2563,2025-12-23
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Politics,National News,201,6844,2025-12-03
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Environment,Wire Service,485,5310,2025-12-25
Local Community Raises Record $500K for Children's Hospital,Positive,Technology,Online Media,465,1830,2025-12-05
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Economy,National News,116,8416,2025-12-13
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Technology,Wire Service,446,8250,2025-12-28
Healthcare Crisis Deepens as Hospital Staff Shortages Reach Critical Level,Negative,Technology,Wire Service,187,4851,2025-12-23
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Politics,National News,380,3690,2025-11-30
Transportation Strike Leaves Thousands Stranded During Rush Hour,Negative,Economy,Local News,154,9974,2025-12-07
Healthcare Crisis Deepens as Hospital Staff Shortages Reach Critical Level,Negative,Environment,National News,236,4358,2025-12-03
Housing Market Crash Leaves Many Families Facing Foreclosure,Negative,Politics,Local News,450,4917,2025-12-08
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Politics,Local News,330,1230,2025-11-30
Housing Market Crash Leaves Many Families Facing Foreclosure,Negative,Politics,National News,442,9141,2025-12-14
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Economy,Local News,406,7594,2025-12-04
Healthcare Crisis Deepens as Hospital Staff Shortages Reach Critical Level,Negative,Education,National News,157,3849,2025-12-05
Budget Cuts Force School District to Eliminate Essential Programs,Negative,Politics,Wire Service,283,5512,2025-12-16
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Technology,Local News,157,9543,2025-12-08
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Health,Local News,390,4368,2025-12-17
Transportation Strike Leaves Thousands Stranded During Rush Hour,Negative,Economy,Online Media,399,4369,2025-12-10
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Environment,Local News,234,9188,2025-12-07
Housing Market Crash Leaves Many Families Facing Foreclosure,Negative,Economy,Local News,192,7765,2025-12-10
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Education,National News,417,3530,2025-12-14
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Economy,Wire Service,157,5074,2025-12-11
Rising Crime Rates Prompt Increased Security Measures Downtown,Negative,Health,National News,141,9070,2025-12-24
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Health,Wire Service,173,1045,2025-12-23
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Environment,Wire Service,128,787,2025-11-29
Housing Market Crash Leaves Many Families Facing Foreclosure,Negative,Technology,Online Media,57,5275,2025-12-03
Transportation Strike Leaves Thousands Stranded During Rush Hour,Negative,Technology,Local News,370,3226,2025-12-21
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Technology,Online Media,420,9926,2025-12-27
Rising Crime Rates Prompt Increased Security Measures Downtown,Negative,Technology,National News,140,5014,2025-12-04
Factory Explosion Injures Dozens and Raises Safety Concerns,Negative,Economy,Local News,294,3618,2025-12-18
Transportation Strike Leaves Thousands Stranded During Rush Hour,Negative,Economy,Online Media,234,2559,2025-12-04
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Health,Local News,390,9580,2025-12-27
Healthcare Crisis Deepens as Hospital Staff Shortages Reach Critical Level,Negative,Economy,Wire Service,132,8180,2025-12-08
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Education,Wire Service,76,2101,2025-12-21
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Environment,National News,482,5329,2025-11-30
Rising Crime Rates Prompt Increased Security Measures Downtown,Negative,Education,National News,386,1750,2025-12-05
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Local,National News,337,3768,2025-12-20
Factory Explosion Injures Dozens and Raises Safety Concerns,Negative,Health,Local News,436,5932,2025-12-08
Rising Crime Rates Prompt Increased Security Measures Downtown,Negative,Local,National News,89,6098,2025-12-22
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Education,Wire Service,356,2974,2025-12-18
Transportation Strike Leaves Thousands Stranded During Rush Hour,Negative,Technology,Online Media,451,8467,2025-12-26
Factory Explosion Injures Dozens and Raises Safety Concerns,Negative,Politics,Wire Service,374,6025,2025-12-06
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Local,National News,299,2569,2025-12-08
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Economy,National News,341,9356,2025-12-01
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Environment,Online Media,367,5307,2025-11-29
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Economy,Wire Service,430,680,2025-12-16
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Politics,Local News,136,4508,2025-12-21
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Local,Wire Service,254,684,2025-12-17
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Politics,National News,311,5218,2025-12-03
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Technology,Online Media,348,9045,2025-12-06
Housing Market Crash Leaves Many Families Facing Foreclosure,Negative,Education,Local News,210,6330,2025-12-24
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Economy,Local News,324,8307,2025-12-14
Healthcare Crisis Deepens as Hospital Staff Shortages Reach Critical Level,Negative,Technology,National News,436,1159,2025-12-08
Economic Downturn Forces Closure of Historic Local Businesses,Negative,Education,Local News,307,3952,2025-12-19
Factory Explosion Injures Dozens and Raises Safety Concerns,Negative,Politics,Local News,59,653,2025-12-14
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Local,Online Media,166,6481,2025-12-19
Budget Cuts Force School District to Eliminate Essential Programs,Negative,Technology,Online Media,170,1516,2025-12-09
Environmental Disaster Threatens Local Wildlife and Water Supply,Negative,Technology,Wire Service,449,2930,2025-12-11
Budget Cuts Force School District to Eliminate Essential Programs,Negative,Environment,Wire Service,118,2502,2025-12-03
Housing Market Crash Leaves Many Families Facing Foreclosure,Negative,Politics,Online Media,133,9051,2025-12-01
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Technology,Wire Service,299,4022,2025-12-20
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Environment,National News,368,8142,2025-12-21
Major Cyber Attack Compromises Personal Data of 10 Million Users,Negative,Technology,National News,117,4488,2025-12-28
Severe Weather System Causes Widespread Power Outages and Damage,Negative,Local,Wire Service,264,1042,2025-12-16
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Local,Online Media,295,3098,2025-12-11
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Education,Wire Service,210,2681,2025-12-15
Local Government Offices Transition to New Digital Filing System,Neutral,Politics,Wire Service,237,6757,2025-12-23
Municipal Elections Set for November with Several Contested Races,Neutral,Education,Online Media,370,7728,2025-12-03
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Local,Wire Service,154,2642,2025-12-18
Public Library Announces Extended Hours and New Digital Services,Neutral,Economy,National News,142,4100,2025-12-20
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Local,Local News,207,5975,2025-12-05
Public Library Announces Extended Hours and New Digital Services,Neutral,Environment,Local News,401,7011,2025-12-08
Local Government Offices Transition to New Digital Filing System,Neutral,Local,Local News,157,1487,2025-12-05
Municipal Elections Set for November with Several Contested Races,Neutral,Politics,Online Media,259,7165,2025-12-09
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Technology,Online Media,183,5298,2025-12-08
Municipal Elections Set for November with Several Contested Races,Neutral,Health,Wire Service,302,7100,2025-12-18
Community Center Expands Programming to Include Senior Activities,Neutral,Technology,Local News,82,7495,2025-12-14
Community Center Expands Programming to Include Senior Activities,Neutral,Economy,Online Media,198,5778,2025-12-21
Weather Service Predicts Average Temperatures for Upcoming Season,Neutral,Economy,Online Media,369,992,2025-12-03
Road Construction Project Moves into Final Phase of Completion,Neutral,Politics,Local News,300,8211,2025-12-17
Community Center Expands Programming to Include Senior Activities,Neutral,Local,Local News,228,5926,2025-12-01
Public Library Announces Extended Hours and New Digital Services,Neutral,Economy,Local News,141,5885,2025-12-23
Road Construction Project Moves into Final Phase of Completion,Neutral,Education,National News,347,3353,2025-12-10
Community Center Expands Programming to Include Senior Activities,Neutral,Environment,Local News,53,3524,2025-12-09
New Traffic Management System Installed at Major Intersection,Neutral,Environment,National News,185,2708,2025-12-20
Public Library Announces Extended Hours and New Digital Services,Neutral,Economy,National News,153,4003,2025-12-07
Community Center Expands Programming to Include Senior Activities,Neutral,Politics,Wire Service,499,235,2025-12-03
Road Construction Project Moves into Final Phase of Completion,Neutral,Local,Local News,138,7170,2025-12-24
Weather Service Predicts Average Temperatures for Upcoming Season,Neutral,Politics,Wire Service,493,7223,2025-12-01
Municipal Elections Set for November with Several Contested Races,Neutral,Economy,Local News,320,4389,2025-12-04
Weather Service Predicts Average Temperatures for Upcoming Season,Neutral,Environment,Online Media,274,9635,2025-12-18
City Council Schedules Public Hearing on Proposed Budget Changes,Neutral,Health,Local News,234,5674,2025-12-13
Public Library Announces Extended Hours and New Digital Services,Neutral,Economy,Local News,90,6208,2025-12-25
Public Library Announces Extended Hours and New Digital Services,Neutral,Economy,Wire Service,367,7036,2025-12-07
Public Library Announces Extended Hours and New Digital Services,Neutral,Health,Local News,109,2532,2025-12-12
Community Center Expands Programming to Include Senior Activities,Neutral,Environment,National News,213,3747,2025-12-26
Local Government Offices Transition to New Digital Filing System,Neutral,Economy,Local News,393,8401,2025-12-18
Weather Service Predicts Average Temperatures for Upcoming Season,Neutral,Education,Local News,437,2837,2025-12-03
Municipal Elections Set for November with Several Contested Races,Neutral,Technology,Online Media,128,3497,2025-12-16
Local Government Offices Transition to New Digital Filing System,Neutral,Health,National News,216,6224,2025-12-27
Municipal Elections Set for November with Several Contested Races,Neutral,Environment,Online Media,393,923,2025-12-24
New Traffic Management System Installed at Major Intersection,Neutral,Health,Wire Service,446,1768,2025-12-09
Community Center Expands Programming to Include Senior Activities,Neutral,Economy,Local News,179,2543,2025-12-18
Municipal Elections Set for November with Several Contested Races,Neutral,Environment,National News,226,7593,2025-12-26
City Council Schedules Public Hearing on Proposed Budget Changes,Neutral,Politics,Wire Service,388,5603,2025-12-02
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Environment,Wire Service,150,2096,2025-12-14
Local Government Offices Transition to New Digital Filing System,Neutral,Politics,Local News,442,8133,2025-12-03
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Local,Online Media,381,8403,2025-12-28
Community Center Expands Programming to Include Senior Activities,Neutral,Technology,Local News,171,640,2025-12-27
Annual Community Festival Planning Committee Releases Event Schedule,Neutral,Politics,National News,374,9273,2025-12-05
New Traffic Management System Installed at Major Intersection,Neutral,Environment,National News,346,4417,2025-12-21
Annual Community Festival Planning Committee Releases Event Schedule,Neutral,Local,Wire Service,342,9084,2025-12-15
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Economy,National News,149,3702,2025-12-12
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Environment,Online Media,366,1143,2025-12-15
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Education,Local News,197,2828,2025-12-01
Local Government Offices Transition to New Digital Filing System,Neutral,Economy,Online Media,64,7001,2025-12-04
Community Center Expands Programming to Include Senior Activities,Neutral,Environment,Local News,235,2793,2025-12-12
Weather Service Predicts Average Temperatures for Upcoming Season,Neutral,Health,Wire Service,209,1470,2025-12-22
Weather Service Predicts Average Temperatures for Upcoming Season,Neutral,Politics,National News,87,7906,2025-12-24
Municipal Elections Set for November with Several Contested Races,Neutral,Politics,Wire Service,301,9520,2025-12-14
New Traffic Management System Installed at Major Intersection,Neutral,Environment,National News,440,7822,2025-11-30
Road Construction Project Moves into Final Phase of Completion,Neutral,Politics,Local News,456,366,2025-12-19
School Board Reviews Updated Curriculum Standards for Next Year,Neutral,Education,National News,322,9664,2025-12-01
Public Library Announces Extended Hours and New Digital Services,Neutral,Environment,National News,275,7778,2025-12-17
