post_id,text,sentiment,platform,likes,shares,comments,timestamp,user_followers
POST_0075,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,154,45,0,2025-12-28T15:14:56.869125,1962
POST_0076,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,LinkedIn,93,21,7,2025-12-24T15:14:56.869125,7076
POST_0077,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Twitter,61,11,0,2025-12-26T02:14:56.869125,1587
POST_0078,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,Instagram,46,23,5,2025-12-22T21:14:56.869125,1864
POST_0079,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,LinkedIn,167,8,10,2025-12-26T19:14:56.869125,5813
POST_0080,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Twitter,20,3,7,2025-12-27T07:14:56.869125,4341
POST_0081,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,Twitter,100,18,10,2025-12-23T02:14:56.869125,9490
POST_0082,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,Twitter,149,49,20,2025-12-25T11:14:56.869125,5758
POST_0083,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,Facebook,133,35,14,2025-12-27T21:14:56.869125,8143
POST_0084,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,TikTok,74,11,2,2025-12-26T09:14:56.869125,5981
POST_0085,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,Instagram,28,5,5,2025-12-24T19:14:56.869125,5409
POST_0086,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,TikTok,193,20,14,2025-12-22T20:14:56.869125,5831
POST_0087,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Facebook,200,56,27,2025-12-25T20:14:56.869125,8615
POST_0088,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Facebook,283,20,20,2025-12-25T13:14:56.869125,5341
POST_0089,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,TikTok,135,9,41,2025-12-22T13:14:56.869125,2345
POST_0090,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Facebook,193,34,32,2025-12-27T06:14:56.869125,3187
POST_0091,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Facebook,26,64,9,2025-12-27T20:14:56.869125,7061
POST_0092,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,Twitter,45,9,1,2025-12-28T12:14:56.869125,3892
POST_0093,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,LinkedIn,227,8,4,2025-12-24T19:14:56.869125,9050
POST_0094,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,Twitter,73,1,0,2025-12-29T08:14:56.869125,1686
POST_0095,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,TikTok,235,54,21,2025-12-23T14:14:56.869125,3330
POST_0096,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Facebook,131,18,9,2025-12-25T09:14:56.869125,9041
POST_0097,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,170,36,26,2025-12-25T12:14:56.869125,8139
POST_0098,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,TikTok,103,3,4,2025-12-26T21:14:56.869125,6971
POST_0099,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Instagram,128,19,8,2025-12-24T16:14:56.869125,676
POST_0100,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,LinkedIn,67,17,5,2025-12-28T23:14:56.869125,8707
POST_0101,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Facebook,100,23,9,2025-12-29T00:14:56.869125,9626
POST_0102,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Instagram,111,48,20,2025-12-27T19:14:56.869125,3190
POST_0103,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,LinkedIn,142,39,24,2025-12-26T02:14:56.869125,7147
POST_0104,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,TikTok,5,11,5,2025-12-27T22:14:56.869125,4887
POST_0105,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,LinkedIn,51,13,22,2025-12-23T05:14:56.869125,5877
POST_0106,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,Instagram,96,28,2,2025-12-23T21:14:56.869125,4104
POST_0107,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Facebook,13,34,23,2025-12-24T00:14:56.869125,4736
POST_0108,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Instagram,105,65,18,2025-12-23T22:14:56.869125,2401
POST_0109,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Facebook,197,25,10,2025-12-28T05:14:56.869125,8329
POST_0110,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,TikTok,55,41,17,2025-12-23T01:14:56.869125,2990
POST_0111,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Facebook,195,31,8,2025-12-26T10:14:56.869125,3149
POST_0112,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,Instagram,127,2,13,2025-12-28T02:14:56.869125,3321
POST_0113,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,TikTok,41,1,8,2025-12-27T10:14:56.869125,871
POST_0114,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,TikTok,241,30,36,2025-12-23T08:14:56.870145,8517
POST_0115,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,LinkedIn,273,31,37,2025-12-23T01:14:56.870145,6220
POST_0116,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Instagram,47,22,1,2025-12-25T08:14:56.870145,2898
POST_0117,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,LinkedIn,61,10,1,2025-12-29T08:14:56.870145,7068
POST_0118,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,LinkedIn,14,37,5,2025-12-23T18:14:56.870145,3655
POST_0119,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,Twitter,251,18,8,2025-12-25T20:14:56.870145,1773
POST_0120,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,131,10,26,2025-12-27T13:14:56.870145,4075
POST_0121,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,TikTok,71,16,1,2025-12-27T08:14:56.870145,4162
POST_0122,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,LinkedIn,2,8,2,2025-12-23T17:14:56.870145,2434
POST_0123,Food poisoning from that new place. Feeling awful! 🤢 #sick #foodpoisoning,Negative,Facebook,25,10,5,2025-12-28T09:14:56.870145,7435
POST_0124,Stuck in traffic for 2 hours! This is ridiculous! 😤 #frustrated #traffic,Negative,TikTok,42,10,4,2025-12-27T16:14:56.870145,9042
POST_0125,Lost my wallet today. What a terrible day! 😞 #stressed #badday,Negative,Instagram,55,27,3,2025-12-27T00:14:56.870145,1788
POST_0126,Food poisoning from that new place. Feeling awful! 🤢 #sick #foodpoisoning,Negative,Instagram,13,11,1,2025-12-24T18:14:56.870145,1073
POST_0127,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Facebook,123,27,10,2025-12-29T05:14:56.870145,5197
POST_0128,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,10,8,5,2025-12-29T03:14:56.870145,4922
POST_0129,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Twitter,15,25,0,2025-12-26T00:14:56.870145,1979
POST_0130,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Twitter,62,16,13,2025-12-27T21:14:56.870145,6005
POST_0131,Phone screen cracked for the third time this year 📱 #annoyed #technology,Negative,TikTok,7,2,0,2025-12-25T13:14:56.870145,4080
POST_0132,My flight got cancelled AGAIN! Worst airline ever! ✈️ #angry #travel,Negative,LinkedIn,145,4,2,2025-12-28T12:14:56.870145,2962
POST_0133,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Instagram,50,24,14,2025-12-23T00:14:56.870145,1737
POST_0134,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,TikTok,18,4,1,2025-12-25T05:14:56.870145,3450
POST_0135,Phone screen cracked for the third time this year 📱 #annoyed #technology,Negative,Facebook,56,25,3,2025-12-27T22:14:56.870145,9649
POST_0136,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,TikTok,48,6,6,2025-12-23T16:14:56.870145,7139
POST_0137,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,TikTok,71,12,13,2025-12-28T20:14:56.870145,1161
POST_0138,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,LinkedIn,28,2,2,2025-12-27T08:14:56.870145,3694
POST_0139,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,LinkedIn,47,6,3,2025-12-26T17:14:56.870145,9764
POST_0140,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,107,20,11,2025-12-25T15:14:56.870145,5267
POST_0141,My car broke down on the highway. Could this day get worse? 🚗 #unlucky,Negative,Facebook,49,13,4,2025-12-23T16:14:56.870145,1613
POST_0142,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Instagram,7,2,1,2025-12-28T08:14:56.870145,3942
POST_0143,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Twitter,52,12,5,2025-12-27T00:14:56.870145,3311
POST_0144,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Twitter,49,28,8,2025-12-22T13:14:56.870145,6618
POST_0145,My car broke down on the highway. Could this day get worse? 🚗 #unlucky,Negative,TikTok,67,10,3,2025-12-27T05:14:56.870145,7171
POST_0146,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,44,4,5,2025-12-25T19:14:56.870145,5370
POST_0147,Food poisoning from that new place. Feeling awful! 🤢 #sick #foodpoisoning,Negative,Facebook,59,3,4,2025-12-28T04:14:56.870145,5196
POST_0148,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,119,5,9,2025-12-27T12:14:56.870145,6725
POST_0149,Phone screen cracked for the third time this year 📱 #annoyed #technology,Negative,Twitter,5,5,5,2025-12-28T00:14:56.870145,4432
POST_0150,My flight got cancelled AGAIN! Worst airline ever! ✈️ #angry #travel,Negative,Instagram,174,16,8,2025-12-24T08:14:56.870145,474
POST_0151,Customer service was absolutely horrible today 📞 #frustrated #poorservice,Negative,Twitter,15,0,2,2025-12-27T18:14:56.870145,1551
POST_0152,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Instagram,41,13,16,2025-12-22T17:14:56.870145,5363
POST_0153,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Instagram,34,4,2,2025-12-24T09:14:56.870145,1886
POST_0154,Stuck in traffic for 2 hours! This is ridiculous! 😤 #frustrated #traffic,Negative,Facebook,92,5,3,2025-12-22T14:14:56.870145,6639
POST_0155,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,TikTok,48,18,4,2025-12-23T09:14:56.870145,8520
POST_0156,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,LinkedIn,13,8,0,2025-12-24T10:14:56.870145,2872
POST_0157,My flight got cancelled AGAIN! Worst airline ever! ✈️ #angry #travel,Negative,Instagram,23,4,2,2025-12-28T20:14:56.870145,2448
POST_0158,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Instagram,135,10,15,2025-12-23T00:14:56.870145,1706
POST_0159,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,TikTok,14,4,1,2025-12-25T22:14:56.870145,5390
POST_0160,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,LinkedIn,87,0,9,2025-12-24T14:14:56.870145,1081
POST_0161,Food poisoning from that new place. Feeling awful! 🤢 #sick #foodpoisoning,Negative,Facebook,90,11,6,2025-12-28T11:14:56.870145,1725
POST_0162,Phone screen cracked for the third time this year 📱 #annoyed #technology,Negative,LinkedIn,138,11,10,2025-12-26T23:14:56.870145,3004
POST_0163,Food poisoning from that new place. Feeling awful! 🤢 #sick #foodpoisoning,Negative,LinkedIn,22,15,8,2025-12-29T03:14:56.870145,568
POST_0164,Phone screen cracked for the third time this year 📱 #annoyed #technology,Negative,TikTok,68,31,9,2025-12-23T11:14:56.870145,1905
POST_0165,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,1,3,2,2025-12-28T15:14:56.870145,138
POST_0166,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,LinkedIn,95,5,13,2025-12-28T10:14:56.870145,4162
POST_0167,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Facebook,45,0,2,2025-12-27T11:14:56.870145,8543
POST_0168,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Facebook,44,12,7,2025-12-28T21:14:56.870145,9826
POST_0169,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,LinkedIn,64,10,18,2025-12-28T19:14:56.870145,6464
POST_0170,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Instagram,4,21,9,2025-12-29T04:14:56.870145,8608
POST_0171,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,24,18,5,2025-12-24T03:14:56.870145,5393
POST_0172,My car broke down on the highway. Could this day get worse? 🚗 #unlucky,Negative,LinkedIn,0,1,1,2025-12-28T00:14:56.870145,2657
POST_0173,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,141,21,14,2025-12-25T16:14:56.870145,6584
POST_0174,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Facebook,1,11,8,2025-12-25T09:14:56.870145,3548
POST_0175,Food poisoning from that new place. Feeling awful! 🤢 #sick #foodpoisoning,Negative,Instagram,23,6,5,2025-12-22T20:14:56.870145,4075
POST_0176,Customer service was absolutely horrible today 📞 #frustrated #poorservice,Negative,Facebook,152,26,10,2025-12-26T16:14:56.870145,8700
POST_0177,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Facebook,60,2,0,2025-12-26T04:14:56.870145,9873
POST_0178,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,LinkedIn,150,11,13,2025-12-27T01:14:56.870145,4131
POST_0179,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Facebook,26,33,14,2025-12-24T02:14:56.870145,2823
POST_0180,Lost my wallet today. What a terrible day! 😞 #stressed #badday,Negative,LinkedIn,0,5,3,2025-12-24T12:14:56.870145,7117
POST_0181,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Twitter,42,1,4,2025-12-27T18:14:56.870145,6861
POST_0182,Customer service was absolutely horrible today 📞 #frustrated #poorservice,Negative,Twitter,4,14,5,2025-12-28T21:14:56.870145,2012
POST_0183,Phone screen cracked for the third time this year 📱 #annoyed #technology,Negative,TikTok,19,3,1,2025-12-27T19:14:56.870145,9324
POST_0184,This movie was a complete waste of time and money 🎬 #terrible #regret,Negative,Instagram,130,1,14,2025-12-28T00:14:56.870145,3315
POST_0185,Lost my wallet today. What a terrible day! 😞 #stressed #badday,Negative,LinkedIn,109,5,9,2025-12-26T17:14:56.870145,3901
POST_0186,Lost my wallet today. What a terrible day! 😞 #stressed #badday,Negative,TikTok,52,19,10,2025-12-22T14:14:56.870145,2830
POST_0187,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,Twitter,55,8,1,2025-12-29T03:14:56.870145,1878
POST_0188,My car broke down on the highway. Could this day get worse? 🚗 #unlucky,Negative,Facebook,76,15,2,2025-12-28T22:14:56.870145,7701
POST_0189,Rain ruined our outdoor wedding plans 😢 #disappointed #weather,Negative,Facebook,82,9,8,2025-12-25T07:14:56.870145,3413
POST_0190,Stuck in traffic for 2 hours! This is ridiculous! 😤 #frustrated #traffic,Negative,Instagram,38,1,4,2025-12-28T16:14:56.870145,4732
POST_0191,Customer service was absolutely horrible today 📞 #frustrated #poorservice,Negative,Twitter,73,4,10,2025-12-28T07:14:56.870145,9806
POST_0192,Lost my wallet today. What a terrible day! 😞 #stressed #badday,Negative,LinkedIn,25,1,1,2025-12-28T14:14:56.870145,9710
POST_0193,Terrible service at this restaurant. Never going back! 😠 #disappointed,Negative,TikTok,38,10,3,2025-12-24T21:14:56.870145,3116
POST_0194,Stuck in traffic for 2 hours! This is ridiculous! 😤 #frustrated #traffic,Negative,LinkedIn,23,8,2,2025-12-24T09:14:56.870145,1583
POST_0195,Stuck in traffic for 2 hours! This is ridiculous! 😤 #frustrated #traffic,Negative,Facebook,1,3,3,2025-12-23T08:14:56.870145,1442
