headline_id,text,sentiment,category,source,publish_date,views,shares
NEWS_0140,Public Transportation Schedule Updates Announced,Neutral,Entertainment,National News,2025-12-08,62627,325
NEWS_0141,Road Construction Project Enters Second Phase,Neutral,Entertainment,Wire Service,2025-12-08,24241,3060
NEWS_0142,Municipal Elections Scheduled for Next Month,Neutral,Entertainment,Online News,2025-12-02,43922,81
NEWS_0143,Municipal Elections Scheduled for Next Month,Neutral,Entertainment,Local News,2025-12-03,75291,514
NEWS_0144,Community Center Offers New Programming Options,Neutral,Health,Online News,2025-12-26,50548,1798
NEWS_0145,Weather Forecast Predicts Average Temperatures This Week,Neutral,Environment,Wire Service,2025-12-17,92614,4444
NEWS_0146,Community Center Offers New Programming Options,Neutral,Health,Online News,2025-12-02,30991,604
NEWS_0147,Municipal Elections Scheduled for Next Month,Neutral,Sports,Local News,2025-12-19,89859,1083
NEWS_0148,Local Library Extends Operating Hours,Neutral,Sports,National News,2025-12-26,38239,3165
NEWS_0149,Road Construction Project Enters Second Phase,Neutral,Economy,Online News,2025-12-04,84534,3799
NEWS_0150,Weather Forecast Predicts Average Temperatures This Week,Neutral,Sports,Online News,2025-12-23,45928,2249
